category,setting,condition,final_mean
cartpole_main,lambda_mean=0_lambda_var=1e-2,learned_tau_speed_subjdt,353.998
cartpole_main,lambda_mean=0_lambda_var=1e-2,learned_tau_speed_objdt,300.463
cartpole_main,lambda_mean=0_lambda_var=1e-2,standard_gru_speed,318.210
cartpole_main,lambda_mean=0_lambda_var=1e-2,fixed_tau_10_speed,288.718
cartpole_gamma,0.97,standard_gru_speed,333.649
cartpole_gamma,0.97,fixed_tau_10_speed,369.006
cartpole_gamma,0.99,standard_gru_speed,318.210
cartpole_gamma,0.99,fixed_tau_10_speed,288.718
cartpole_gamma,0.995,standard_gru_speed,297.135
cartpole_gamma,0.995,fixed_tau_10_speed,277.740
cartpole_gamma,0.999,standard_gru_speed,272.545
cartpole_gamma,0.999,fixed_tau_10_speed,303.819
cartpole_const_tau,c=1,standard_gru_speed,315.075
cartpole_const_tau,c=2,standard_gru_speed,309.552
cartpole_const_tau,c=3,standard_gru_speed,288.438
pendulum_speed,lambda_mean=0_lambda_var=1e-2,learned_tau_speed_subjdt,-1120.663
pendulum_speed,lambda_mean=0_lambda_var=1e-2,learned_tau_speed_objdt,-1139.003
pendulum_speed,lambda_mean=0_lambda_var=1e-2,standard_gru_speed,-1194.068
pendulum_speed,lambda_mean=0_lambda_var=1e-2,fixed_tau_10_speed,-1115.918
acrobot_speed,lambda_mean=0_lambda_var=1e-2,learned_tau_speed_subjdt,-199.451
acrobot_speed,lambda_mean=0_lambda_var=1e-2,learned_tau_speed_objdt,-185.355
acrobot_speed,lambda_mean=0_lambda_var=1e-2,standard_gru_speed,-125.209
acrobot_speed,lambda_mean=0_lambda_var=1e-2,fixed_tau_10_speed,-134.833
cartpole_learned_gamma,0.97,learned_tau_speed_objdt,352.650
cartpole_learned_gamma,0.97,learned_tau_speed_subjdt,288.242
cartpole_const_tau_gamma,gamma=0.97_c=1,standard_gru_speed,274.278
cartpole_fixed_internal_tau_gamma,0.97,fixed_tau_10_speed,252.442
cartpole_fixed_internal_tau_gamma,0.99,fixed_tau_10_speed,346.465
