metric,seed,low_group_delta,high_group_delta,group_diff
auc,0,-1.6445312499999858,-18.670312499999994,-17.02578125000001
auc,1,-26.381250000000037,10.193229166666676,36.57447916666671
auc,2,-16.956250000000004,-5.964843750000014,10.99140624999999
auc,3,21.794401041666646,-57.15755208333336,-78.951953125
auc,4,-34.18020833333335,-86.4497395833333,-52.26953124999995
auc,5,-11.317187499999974,-16.226822916666656,-4.909635416666681
auc,6,-38.16432291666666,37.644140625,75.80846354166667
auc,7,13.59999999999998,-80.26328124999999,-93.86328124999997
auc,8,62.49960937499996,44.79622395833336,-17.703385416666606
auc,9,23.97565104166665,-3.319140625000003,-27.294791666666654
final_mean,0,-9.300000000000011,192.42499999999998,201.725
final_mean,1,-47.282499999999985,155.15750000000003,202.44
final_mean,2,-46.432500000000005,21.25000000000002,67.68250000000003
final_mean,3,106.55,-110.02000000000001,-216.57
final_mean,4,-127.66500000000002,-46.55500000000001,81.11000000000001
final_mean,5,-19.194999999999993,-94.30749999999999,-75.1125
final_mean,6,-86.00750000000001,75.15249999999996,161.15999999999997
final_mean,7,-7.02000000000001,-68.38250000000002,-61.36250000000001
final_mean,8,103.60500000000002,114.17750000000001,10.572499999999991
final_mean,9,-17.787499999999966,-32.51750000000001,-14.730000000000047
