anchor,comparator,metric,seed,anchor_value,comparator_value,delta
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,0,190.2244791666667,192.7088541666667,-2.484375
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,1,180.70625000000004,222.565625,-41.85937499999997
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,2,117.32473958333333,133.88359375,-16.558854166666663
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,3,192.46875,223.38203125,-30.91328125000001
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,4,175.35468750000004,220.1934895833333,-44.83880208333326
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,0,190.2244791666667,253.2791666666667,-63.0546875
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,1,180.70625000000004,169.08671875,11.619531250000051
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,2,117.32473958333333,126.5703125,-9.245572916666674
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,3,192.46875,197.07604166666667,-4.607291666666669
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,4,175.35468750000004,130.77604166666666,44.57864583333338
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,0,479.05,127.875,351.175
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,1,309.975,191.045,118.93000000000004
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,2,182.19,141.33499999999998,40.85500000000002
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,3,198.565,355.96500000000003,-157.40000000000003
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,4,301.455,348.355,-46.900000000000034
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,0,479.05,119.73,359.32
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,1,309.975,292.795,17.180000000000007
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,2,182.19,169.445,12.745000000000005
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,3,198.565,174.67,23.89500000000001
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,4,301.455,163.675,137.77999999999997
