anchor,comparator,metric,seed,anchor_value,comparator_value,delta
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,0,165.24453125,214.73645833333333,-49.49192708333334
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,1,277.3447916666667,193.98984375,83.3549479166667
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,2,166.90807291666667,124.73307291666669,42.17499999999998
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,3,196.29114583333333,182.50338541666667,13.787760416666657
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,4,259.43385416666666,204.44192708333333,54.99192708333334
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,5,322.47578125,212.63828125,109.8375
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,6,162.4729166666667,152.12838541666667,10.344531250000017
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,7,171.59322916666665,244.4434895833333,-72.85026041666666
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,8,180.45234375,133.34036458333335,47.11197916666666
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,9,133.33828125,166.72447916666667,-33.386197916666674
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,10,108.83828125000002,190.5390625,-81.70078124999998
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,11,111.60052083333332,144.09296874999998,-32.49244791666666
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,12,136.62213541666665,212.2307291666667,-75.60859375000004
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,13,112.31380208333331,221.2580729166667,-108.94427083333338
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,14,109.71276041666664,151.27395833333333,-41.561197916666686
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,15,310.71901041666666,102.53046875,208.18854166666665
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,16,177.23567708333334,233.64895833333333,-56.41328124999998
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,17,114.00677083333332,143.8515625,-29.84479166666668
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,18,117.4421875,121.45755208333333,-4.015364583333323
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,19,170.49739583333334,145.95234374999998,24.54505208333336
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,20,123.69817708333336,136.67057291666666,-12.972395833333294
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,21,123.20859375,116.42317708333331,6.785416666666691
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,22,178.43203125,353.36953125,-174.93750000000003
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,23,181.56562500000004,107.85885416666667,73.70677083333337
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,24,182.3703125,122.30182291666668,60.06848958333333
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,25,185.22265625,83.6609375,101.56171875
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,26,299.9229166666667,140.80234375,159.1205729166667
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,27,185.70572916666663,169.05052083333337,16.655208333333263
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,28,161.64973958333334,217.0916666666667,-55.441927083333354
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,auc,29,152.30677083333333,205.67578125,-53.36901041666667
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,0,296.97,215.735,81.23500000000001
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,1,499.645,240.24,259.405
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,2,152.265,156.17000000000002,-3.9050000000000296
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,3,278.42,348.825,-70.40499999999997
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,4,485.36,361.235,124.125
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,5,497.64,299.14,198.5
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,6,384.105,140.95999999999998,243.14500000000004
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,7,301.62,272.705,28.91500000000002
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,8,204.89,132.43,72.45999999999998
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,9,181.525,147.09999999999997,34.42500000000004
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,10,113.68999999999998,265.09000000000003,-151.40000000000003
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,11,121.40000000000002,173.08499999999998,-51.68499999999996
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,12,183.65,439.6,-255.95000000000002
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,13,103.235,240.53500000000005,-137.30000000000007
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,14,112.43,207.41,-94.97999999999999
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,15,286.995,147.21499999999995,139.78000000000006
learned_tau_delay10_selfmodel,learned_tau_delay10_selfmodel_noerr,final_mean,16,237.25000000000009,494.6,-257.3499999999999
