anchor,comparator,metric,seed,anchor_value,comparator_value,delta
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,0,214.73645833333333,192.7088541666667,22.027604166666634
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,1,193.98984375,222.565625,-28.575781250000006
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,2,124.73307291666669,133.88359375,-9.150520833333303
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,3,182.50338541666667,223.38203125,-40.87864583333334
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,4,204.44192708333333,220.1934895833333,-15.751562499999977
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,5,212.63828125,181.67447916666663,30.963802083333377
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,6,152.12838541666667,133.77265624999998,18.35572916666669
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,7,244.4434895833333,168.09661458333332,76.34687499999998
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,8,133.34036458333335,145.5390625,-12.198697916666646
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,9,166.72447916666667,170.67916666666665,-3.9546874999999773
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,10,190.5390625,221.44244791666665,-30.90338541666665
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,11,144.09296874999998,112.10781249999998,31.985156250000003
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,12,212.2307291666667,185.63802083333331,26.592708333333377
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,13,221.2580729166667,171.77395833333333,49.484114583333366
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,14,151.27395833333333,201.78828125000004,-50.514322916666714
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,15,102.53046875,81.98802083333334,20.54244791666666
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,16,233.64895833333333,185.96875,47.680208333333326
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,17,143.8515625,123.60677083333331,20.244791666666686
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,18,121.45755208333333,180.13151041666666,-58.67395833333333
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,19,145.95234374999998,99.08098958333332,46.87135416666666
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,20,136.67057291666666,162.45260416666667,-25.782031250000017
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,21,116.42317708333331,99.91223958333336,16.510937499999955
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,22,353.36953125,203.67630208333333,149.6932291666667
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,23,107.85885416666667,139.26223958333333,-31.40338541666665
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,24,122.30182291666668,172.26093749999998,-49.9591145833333
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,25,83.6609375,169.06510416666666,-85.40416666666665
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,26,140.80234375,123.77447916666668,17.027864583333326
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,27,169.05052083333337,98.90781250000002,70.14270833333335
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,28,217.0916666666667,164.1486979166667,52.942968750000006
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,auc,29,205.67578125,180.68072916666668,24.99505208333332
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,0,215.735,127.875,87.86000000000001
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,1,240.24,191.045,49.19500000000002
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,2,156.17000000000002,141.33499999999998,14.835000000000036
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,3,348.825,355.96500000000003,-7.140000000000043
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,4,361.235,348.355,12.879999999999995
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,5,299.14,357.3,-58.160000000000025
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,6,140.95999999999998,165.57500000000002,-24.615000000000038
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,7,272.705,241.135,31.569999999999993
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,8,132.43,120.455,11.975000000000009
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,9,147.09999999999997,277.8,-130.70000000000005
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,10,265.09000000000003,159.935,105.15500000000003
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,11,173.08499999999998,112.125,60.95999999999998
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,12,439.6,131.85500000000002,307.745
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,13,240.53500000000005,265.9,-25.364999999999924
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,14,207.41,221.035,-13.625
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,15,147.21499999999995,102.63500000000002,44.57999999999993
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,16,494.6,143.69500000000002,350.905
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,17,148.275,150.86,-2.585000000000008
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,18,123.695,203.27,-79.57500000000002
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,19,206.24500000000003,116.3,89.94500000000004
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,20,107.265,255.34500000000003,-148.08000000000004
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,21,107.58,102.415,5.164999999999992
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,22,371.295,342.02500000000003,29.269999999999982
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,23,142.67000000000002,107.505,35.16500000000002
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,24,156.14,140.81,15.329999999999984
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,25,102.13500000000002,201.6,-99.46499999999997
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,26,159.50499999999997,109.67,49.834999999999965
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,27,241.36499999999995,126.285,115.07999999999996
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,28,187.805,148.35500000000002,39.44999999999999
learned_tau_delay10_selfmodel_noerr,learned_tau_delay10,final_mean,29,168.95,306.2800000000001,-137.3300000000001
