anchor,comparator,metric,seed,anchor_value,comparator_value,delta
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,0,165.24453125,192.7088541666667,-27.464322916666703
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,1,277.3447916666667,222.565625,54.7791666666667
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,2,166.90807291666667,133.88359375,33.02447916666668
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,3,196.29114583333333,223.38203125,-27.09088541666668
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,4,259.43385416666666,220.1934895833333,39.24036458333336
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,5,322.47578125,181.67447916666663,140.80130208333338
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,6,162.4729166666667,133.77265624999998,28.70026041666671
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,7,171.59322916666665,168.09661458333332,3.4966145833333258
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,8,180.45234375,145.5390625,34.91328125000001
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,9,133.33828125,170.67916666666665,-37.34088541666665
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,0,296.97,127.875,169.09500000000003
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,1,499.645,191.045,308.6
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,2,152.265,141.33499999999998,10.930000000000007
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,3,278.42,355.96500000000003,-77.54500000000002
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,4,485.36,348.355,137.005
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,5,497.64,357.3,140.33999999999997
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,6,384.105,165.57500000000002,218.53
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,7,301.62,241.135,60.485000000000014
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,8,204.89,120.455,84.43499999999999
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,9,181.525,277.8,-96.275
