metric,seed,low_group_delta,high_group_delta,group_diff
auc,0,-33.28645833333334,-60.48749999999998,-27.20104166666664
auc,1,64.56510416666667,88.30963541666664,23.744531249999966
auc,2,-28.464322916666674,36.88932291666663,65.3536458333333
auc,3,-22.63255208333338,-109.37916666666665,-86.74661458333327
auc,4,8.182812499999955,-52.32682291666663,-60.50963541666658
auc,5,-43.5130208333333,8.500520833333326,52.013541666666626
auc,6,-46.96979166666665,38.882291666666646,85.8520833333333
auc,7,-14.864843750000034,-82.46249999999998,-67.59765624999994
auc,8,150.66510416666668,20.153645833333343,-130.51145833333334
auc,9,52.65703124999999,2.264843749999997,-50.39218749999999
auc,10,-47.77890624999998,14.294791666666669,62.073697916666646
auc,11,0.8309895833333769,17.265885416666634,16.434895833333258
auc,12,44.46458333333331,42.79270833333334,-1.6718749999999716
auc,13,16.42682291666665,-121.0328125,-137.45963541666666
auc,14,-58.78020833333332,-58.32604166666664,0.45416666666667993
auc,15,-55.51484375000001,-15.936197916666657,39.578645833333354
auc,16,-67.64583333333334,-17.13177083333335,50.514062499999994
auc,17,5.854427083333363,17.98072916666665,12.126302083333286
auc,18,143.29947916666669,11.20208333333332,-132.09739583333337
auc,19,71.54166666666673,-24.649739583333314,-96.19140625000004
auc,20,122.3828125,-11.654166666666669,-134.03697916666667
auc,21,30.25494791666665,-26.97083333333339,-57.22578125000004
auc,22,147.53958333333333,-55.97578125000001,-203.51536458333334
auc,23,-116.55885416666669,-29.739062499999974,86.81979166666672
auc,24,11.000520833333354,22.271875000000023,11.271354166666669
auc,25,-67.09375,2.45494791666664,69.54869791666664
auc,26,106.27005208333335,-9.398958333333354,-115.66901041666671
auc,27,-84.22083333333333,4.04609375000004,88.26692708333337
auc,28,-8.446614583333343,80.41979166666667,88.86640625000001
auc,29,-67.97031250000002,-7.5367187499999915,60.43359375000003
final_mean,0,-78.305,41.815,120.12
final_mean,1,132.02500000000003,127.05500000000004,-4.969999999999999
final_mean,2,-8.455000000000013,53.27499999999999,61.730000000000004
final_mean,3,-57.670000000000044,-63.485000000000014,-5.814999999999969
final_mean,4,-28.660000000000025,99.435,128.09500000000003
final_mean,5,5.855000000000004,31.325000000000017,25.470000000000013
final_mean,6,-38.775000000000006,83.99000000000002,122.76500000000003
final_mean,7,-107.44999999999999,139.125,246.575
final_mean,8,262.31500000000005,-14.045000000000044,-276.3600000000001
final_mean,9,11.97500000000008,-4.9950000000000045,-16.970000000000084
final_mean,10,-113.38000000000002,106.39500000000004,219.77500000000006
final_mean,11,151.375,47.75500000000001,-103.61999999999999
final_mean,12,45.525000000000006,-30.419999999999987,-75.945
final_mean,13,-4.635000000000019,-170.14,-165.50499999999997
final_mean,14,-113.07000000000005,-100.115,12.955000000000055
final_mean,15,-83.675,3.6899999999999693,87.36499999999997
final_mean,16,-101.27999999999997,-6.050000000000011,95.22999999999996
final_mean,17,22.590000000000003,27.385000000000005,4.795000000000002
final_mean,18,289.63,-74.50000000000006,-364.13000000000005
final_mean,19,41.56000000000002,-39.709999999999994,-81.27000000000001
final_mean,20,353.6650000000001,62.390000000000015,-291.2750000000001
final_mean,21,-101.88,-84.29499999999999,17.585000000000008
final_mean,22,219.94,-13.414999999999964,-233.35499999999996
final_mean,23,-209.76000000000005,-53.795,155.96500000000003
final_mean,24,93.44999999999999,17.03500000000001,-76.41499999999998
final_mean,25,-114.66499999999999,62.829999999999984,177.49499999999998
final_mean,26,334.02,41.90999999999997,-292.11
final_mean,27,-173.975,82.44,256.41499999999996
final_mean,28,6.030000000000015,44.140000000000015,38.11
final_mean,29,-127.01500000000001,17.124999999999986,144.14
