metric,seed,low_group_delta,high_group_delta,group_diff
auc,0,-33.28645833333334,-60.48749999999998,-27.20104166666664
auc,1,64.56510416666667,88.30963541666664,23.744531249999966
auc,2,-28.464322916666674,36.88932291666663,65.3536458333333
auc,3,-22.63255208333338,-109.37916666666665,-86.74661458333327
auc,4,8.182812499999955,-52.32682291666663,-60.50963541666658
auc,5,-43.5130208333333,8.500520833333326,52.013541666666626
auc,6,-46.96979166666665,38.882291666666646,85.8520833333333
auc,7,-14.864843750000034,-82.46249999999998,-67.59765624999994
auc,8,150.66510416666668,20.153645833333343,-130.51145833333334
auc,9,52.65703124999999,2.264843749999997,-50.39218749999999
auc,10,-47.77890624999998,14.294791666666669,62.073697916666646
auc,11,0.8309895833333769,17.265885416666634,16.434895833333258
auc,12,44.46458333333331,42.79270833333334,-1.6718749999999716
auc,13,16.42682291666665,-121.0328125,-137.45963541666666
auc,14,-58.78020833333332,-58.32604166666664,0.45416666666667993
final_mean,0,-78.305,41.815,120.12
final_mean,1,132.02500000000003,127.05500000000004,-4.969999999999999
final_mean,2,-8.455000000000013,53.27499999999999,61.730000000000004
final_mean,3,-57.670000000000044,-63.485000000000014,-5.814999999999969
final_mean,4,-28.660000000000025,99.435,128.09500000000003
final_mean,5,5.855000000000004,31.325000000000017,25.470000000000013
final_mean,6,-38.775000000000006,83.99000000000002,122.76500000000003
final_mean,7,-107.44999999999999,139.125,246.575
final_mean,8,262.31500000000005,-14.045000000000044,-276.3600000000001
final_mean,9,11.97500000000008,-4.9950000000000045,-16.970000000000084
final_mean,10,-113.38000000000002,106.39500000000004,219.77500000000006
final_mean,11,151.375,47.75500000000001,-103.61999999999999
final_mean,12,45.525000000000006,-30.419999999999987,-75.945
final_mean,13,-4.635000000000019,-170.14,-165.50499999999997
final_mean,14,-113.07000000000005,-100.115,12.955000000000055
